Z,AtomicMass,AtomicRadius,BoilingPoint,Density,Electronegativity,IonizationEnergies,MeltingPoint,MolarVolume,Phase,DiscoveryYear,Block,StableIsotopes,HumanAbundance,ElectronAffinity,ThermalConductivity,ElectricalConductivity,MohsHardness
41,0.5147587105261487,0.2808988764044944,0.10895270702293114,0.4654732999579312,0.5442073170731706,0.5255861834169795,0.2112681602671469,0.6708409212516994,0.75,0.525,0.1875,0.,-1,0.564971346704871,0.6558194593215072,0.6689516129032258,0.271978021978022
42,0.5069420652559664,0.303370786516854,0.12237997725463035,0.408700165654931,0.4161585365853657,0.5059701675775217,0.1825215140425398,0.683955762872596,0.75,0.5254591368227732,0.1875,0.4166666666666667,0.3441923469443089,0.595487106017192,0.5075624006982942,0.5080645161290323,0.3131868131868132
43,0.5017200807421198,0.3230337078651686,0.17020663503230204,0.36819535638612383,0.4756097560975609,0.4955770227674443,0.2742745081566968,0.6919434333426299,0.75,0.14570564516129036,0.1875,-1,-1,0.6361031518624641,0.6610520613905618,0.6895161290322581,-1
44,0.49386150600804685,0.3370786516853933,0.18491269290511558,0.33931077928459746,0.4070121951219511,0.4908506294373125,0.2394241219802895,0.6956326959506286,0.75,0.38466867469879595,0.1875,0.49999999999999994,-1,0.5323065902578796,0.5407022138023065,0.5806451612903226,0.23076923076923084
45,0.48916299984375006,0.35112359550561806,0.2430975305758124,0.3366547262177904,0.3887195121951219,0.4854426919370862,0.31227521172758155,0.6946199936788845,0.75,0.5143373493975913,0.1875,0.,-1,0.5142550143266476,0.4883761931117607,0.4717741935483871,0.271978021978022
46,0.4801665956408512,0.3623595505617978,0.336704785905373,0.3508314094618729,0.4070121951219511,0.4401607566670771,0.39282488960762796,0.6886162194117701,0.75,0.5143373493975913,0.1875,0.4166666666666667,-1,0.6345988538681948,0.6261680475968646,0.6290322580645161,0.375
47,0.4764594985952862,0.3735955056179776,0.43913567595862174,0.40172802635456256,0.4687499999999999,0.47910228765385376,0.5096071554209087,0.6754731276500116,0.75,0.6352157943067034,0.1875,0.08333333333333333,-1,0.4800859598853868,0.,0.,0.5604395604395604
48,0.46483085582592243,0.38483146067415736,0.6175265518940549,0.46281724689112413,0.5236280487804876,0.40928507179116247,0.6357596465343883,0.6549483038594036,0.75,0.4700602409638561,0.1875,0.4166666666666667,0.30132394041679017,0.75,0.5825630303547431,0.5806451612903226,0.6016483516483516
49,0.4586694260588496,0.3988764044943821,0.45064476472864967,0.5073061357601418,0.5030487804878048,0.5887913981716766,0.6681429404012454,0.6383346341850524,0.75,0.32457831325301334,0.5625,0.,-1,0.6878939828080229,0.6069818400103312,0.6048387096774194,0.6675824175824175
50,0.44870669874125607,0.42977528089887646,0.38286901974959625,0.5073061357601418,0.46189024390243894,0.49176855258445107,0.653310852318371,0.6354121331526532,0.75,0.6352157943067034,0.5625,0.75,0.3289223124393383,0.5194126074498567,0.6331448503556041,0.6399193548387097,0.6428571428571428
51,0.44089931993378934,0.4634831460674158,0.5126659653226892,0.5276581423845507,0.441310975609756,0.42545367975716,0.574808880744735,0.625509644384168,0.75,0.6352157943067034,0.5625,0.08333333333333333,-1,0.5282234957020058,0.708145480012053,0.719758064516129,0.5192307692307692
52,0.4259501093647385,0.4915730337078652,0.5892653450254307,0.5428308455286858,0.4298780487804877,0.4085822036131783,0.6104704736502203,0.6152059780386845,0.75,0.5254132231404959,0.5625,0.3333333333333333,-1,0.3412607449856734,0.7447736944954351,0.7498790322580645,0.581043956043956
